name,source,token,confidence
Contentful,greenhouse,contentful,auto
Crisp,greenhouse,crisp,auto
Databricks,greenhouse,databricks,auto
Datadog,greenhouse,datadog,manual
Elastic,greenhouse,elastic,manual
Flow Traders,greenhouse,flowtraders,auto
GitLab,greenhouse,gitlab,manual
HelloFresh,greenhouse,hellofresh,auto
IMC Trading,greenhouse,imc,auto
Journee,greenhouse,journee,auto
MessageBird,greenhouse,bird,auto
Okta,greenhouse,okta,auto
Packlink,greenhouse,packlink,auto
PagerDuty,greenhouse,pagerduty,auto
Sendbird,greenhouse,sendbird,auto
Sendcloud,greenhouse,sendcloud,auto
Spryker,greenhouse,spryker,auto
Stripe,greenhouse,stripe,manual
TMC,greenhouse,tmc,auto
Travix,greenhouse,travix,auto
Twilio,greenhouse,twilio,auto
Wrike,greenhouse,wrike,auto
Mendix,lever,mendix,auto
Netflix,lever,netflix,manual
Prosus,lever,prosus,detected
Benchmark Electronics,recruitee,benchmarkelectronics,auto
Bunq,recruitee,bunq,auto
ChannelEngine,recruitee,channelengine,auto
Cyclomedia,recruitee,cyclomediatechnology,auto
Helloprint,recruitee,helloprint,auto
IG&H,recruitee,igh,auto
Neways Electronics,recruitee,neways,auto
Nobleo Technology,recruitee,nobleotechnology,auto
Seenons,recruitee,seenons,auto
Settels Savenije,recruitee,sttls,auto
Vandebron,recruitee,vandebron,auto
ABN AMRO,smartrecruiters,ABNAMROBank,auto
Booking.com,smartrecruiters,Booking,auto
Coolblue,smartrecruiters,Coolblue,auto
DAF Trucks,smartrecruiters,DAFTrucks,auto
Ebusco,smartrecruiters,Ebusco,auto
Exact Software,smartrecruiters,Exact,auto
ING,smartrecruiters,ING-Bank,auto
JustEat Takeaway,smartrecruiters,JustEatTakeaway,auto
Keysight Technologies,smartrecruiters,KeysightTechnologies,auto
Kulicke and Soffa,smartrecruiters,KulickeAndSoffa,auto
NN Group,smartrecruiters,NNGroup,auto
NXP Semiconductors,smartrecruiters,NXP,auto
Nexperia,smartrecruiters,Nexperia,auto
Philips,smartrecruiters,Philips,auto
Prodrive Technologies,smartrecruiters,ProdriveTechnologies,auto
Randstad,smartrecruiters,Randstad,auto
Sana Commerce,smartrecruiters,sanacommerce,auto
Signify,smartrecruiters,Signify,auto
Sioux Technologies,smartrecruiters,SiouxTechnologies,auto
TU Eindhoven,smartrecruiters,TUEindhoven,auto
Thermo Fisher Eindhoven,smartrecruiters,ThermoFisher,auto
TomTom,smartrecruiters,TomTomNV,auto
TomTom (alt),smartrecruiters,TomTom,auto
VDL Groep,smartrecruiters,VDL,auto
Virtuagym,smartrecruiters,virtuagym,auto
VodafoneZiggo,smartrecruiters,VodafoneZiggo,auto
Wolters Kluwer,smartrecruiters,WoltersKluwer,auto
bol.com,smartrecruiters,Bol,auto
